Category,Subcategory,Question,Answer
🆘 Support & Pricing,Pricing & Payment,Does the FIT pricing include VAT?,"Package prices don’t include VAT or tax. Because we’re based in Thailand, VAT and tax apply only to Thai companies. If you’re overseas, you won’t be charged VAT or tax."
🆘 Support & Pricing,Pricing & Payment,What is the Price of FIT?,The price of the FIT system is based on your specific requirements and the number of recording points and kitchens. Please contact us to get a personalized quote and more information about pricing options.
🆘 Support & Pricing,Support & Contact,Can I contact someone for help?,Sure! You can reach our team or fit@lightblueconsulting.com. We'll be happy to assist you with technical issues or data questions.
🆘 Support & Pricing,Support & Contact,How can I contact support?,"We have a dedicated support team, and you’re welcome to contact any member anytime if you need assistance.
If you’re not sure who to ask, please reach out to fit@lightblueconsulting.com."
🆘 Support & Pricing,Support & Contact,How does FIT support our sustainability goals?,"By reducing food waste, FIT supports sustainability objectives, lowers carbon footprint, and provides data for reporting progress to stakeholders. It also aligns with UN Sustainable Development Goals 2, 12, and 13."
🆘 Support & Pricing,Support & Contact,What support do you provide after setup?,"We’re here for you with ongoing support, check‑ins, and guidance — helping you succeed not just with the tech, but with the behavior changes that make a real difference"
💻 Web App,Data Management,How do I add cover data?,"Go to 'Add Data' > 'Add Covers', select date, kitchen, shift, and enter number of covers, then click 'Save'."
💻 Web App,Data Management,How do I edit a data entry?,"Open the relevant 'Add Data' section, locate the entry, make corrections, and save."
💻 Web App,Reports,How can I export my data?,"Select the desired time period in either ""daily"" ""weekly"" or ""monthly"" form. Use the dashboard 'Download' button and choose the desired format to export data."
💻 Web App,Reports,How can I get a monthly report?,"Go to the dashboard --> under show press ""monthly"" --> select the desired time period and press search, then press download to generated a report of the time period "
💻 Web App,Reports,How can I get a weekly report?,"Go to the dashboard --> under show press ""daily"" --> select the desired time period and press search, then press download to generated a report of the time period "
💻 Web App,Troubleshooting,Why is my data consistency low?,"Common causes include missing food waste or covers during a particular shift.
Please make sure all required fields are filled and that data is recorded daily.
You can check your On Demand section to see which inputs are missing."
💻 Web App,Troubleshooting,Why is my data not showing on the dashboard?,"Please check your filters (date range, show period, kitchen) and confirm the data was applied correctly.
If everything looks fine, open On Demand to see if food waste or covers are missing."
💻 Web App,Usage & Frequency,Can the system work offline?,"Yes, the app has offline functionality. Data will sync automatically when the device reconnects to the internet."
💻 Web App,Usage & Frequency,How can I check the data inputted from my kitchen?,"Go to ""on demand"" and select the specific kitchen (in the case there are multiple kitchens) and then select the time period, then press on the specific input to have the dropdown detials "
💻 Web App,Usage & Frequency,How much time does the system take daily?,"It only takes a few minutes per shift (each record just a few seconds), and most kitchens build it into their routine without disrupting operations."
💻 Web App,Usage & Frequency,How often should I log food waste?,"Ideally, logging should be done during or immediately after each shift, while details are fresh. Consistent logging ensures your reports are much more accurate."
💻 Web App,Usage & Frequency,What happens if a team member enters the wrong data?,Mistakes happen! You can edit entries in the Add Data section on the FIT website. Then go to History and update the record to ensure the data points are accurate.
📊 Analytics & Methodology,Baseline,How is the baseline calculated?,"Food waste is measured over a defined period to establish an average that reflects normal operations across shifts, categories, and waste types. This average becomes the baseline for comparison."
📊 Analytics & Methodology,Baseline,How is the baseline used?,"Once the baseline is established, future performance (post-baseline) is compared to measure improvement or savings."
📊 Analytics & Methodology,Baseline,What does post-baseline mean?,Post-baseline refers to the time after implementing waste-reduction actions. The system automatically compares it to baseline data to calculate progress.
